merchant_code,week,denominator_status_complete,orders_row_exists,order_count,sales_qty,page_result_reason
(阿里)250g黄冰糖浆1瓶,2026-08-09..2026-08-16,1,1,167,167.0000,aggregate_row
(阿里)250g黄冰糖浆1瓶,2026-08-16..2026-08-23,1,1,100,102.0000,aggregate_row
(阿里)250g黄冰糖浆1瓶,2026-08-23..2026-08-30,1,1,58,58.0000,aggregate_row
(阿里)250g黄冰糖浆1瓶,2026-08-30..2026-09-06,1,1,39,39.0000,aggregate_row
(阿里)250g黄冰糖浆1瓶,2026-09-06..2026-09-13,1,1,13,13.0000,aggregate_row
(阿里)500g黄冰糖浆1瓶,2026-08-09..2026-08-16,1,1,149,161.0000,aggregate_row
(阿里)500g黄冰糖浆1瓶,2026-08-16..2026-08-23,1,1,83,84.0000,aggregate_row
(阿里)500g黄冰糖浆1瓶,2026-08-23..2026-08-30,1,1,80,87.0000,aggregate_row
(阿里)500g黄冰糖浆1瓶,2026-08-30..2026-09-06,1,1,34,35.0000,aggregate_row
(阿里)500g黄冰糖浆1瓶,2026-09-06..2026-09-13,1,1,27,29.0000,aggregate_row
0100101,2026-08-09..2026-08-16,1,1,109,110.0000,aggregate_row
0100101,2026-08-16..2026-08-23,1,1,66,68.0000,aggregate_row
0100101,2026-08-23..2026-08-30,1,1,64,67.0000,aggregate_row
0100101,2026-08-30..2026-09-06,1,1,41,43.0000,aggregate_row
0100101,2026-09-06..2026-09-13,1,1,59,70.0000,aggregate_row
0100101*10,2026-08-09..2026-08-16,1,1,8,9.0000,aggregate_row
0100101*10,2026-08-16..2026-08-23,1,1,3,4.0000,aggregate_row
0100101*10,2026-08-23..2026-08-30,1,1,9,11.0000,aggregate_row
0100101*10,2026-08-30..2026-09-06,1,1,7,8.0000,aggregate_row
0100101*10,2026-09-06..2026-09-13,1,1,9,11.0000,aggregate_row
0100101*2,2026-08-09..2026-08-16,1,1,31,31.0000,aggregate_row
0100101*2,2026-08-16..2026-08-23,1,1,23,24.0000,aggregate_row
0100101*2,2026-08-23..2026-08-30,1,1,25,25.0000,aggregate_row
0100101*2,2026-08-30..2026-09-06,1,1,33,33.0000,aggregate_row
0100101*2,2026-09-06..2026-09-13,1,1,39,39.0000,aggregate_row
0100101*3,2026-08-09..2026-08-16,1,1,80,80.0000,aggregate_row
0100101*3,2026-08-16..2026-08-23,1,1,73,74.0000,aggregate_row
0100101*3,2026-08-23..2026-08-30,1,1,69,71.0000,aggregate_row
0100101*3,2026-08-30..2026-09-06,1,1,74,74.0000,aggregate_row
0100101*3,2026-09-06..2026-09-13,1,1,85,90.0000,aggregate_row
0100101*30,2026-08-09..2026-08-16,1,1,2,3.0000,aggregate_row
0100101*30,2026-08-16..2026-08-23,1,1,2,2.0000,aggregate_row
0100101*30,2026-08-23..2026-08-30,1,1,2,2.0000,aggregate_row
0100101*30,2026-08-30..2026-09-06,1,1,1,1.0000,aggregate_row
0100101*30,2026-09-06..2026-09-13,1,1,3,6.0000,aggregate_row
0100101*6,2026-08-09..2026-08-16,1,1,45,48.0000,aggregate_row
0100101*6,2026-08-16..2026-08-23,1,1,41,43.0000,aggregate_row
0100101*6,2026-08-23..2026-08-30,1,1,44,45.0000,aggregate_row
0100101*6,2026-08-30..2026-09-06,1,1,36,37.0000,aggregate_row
0100101*6,2026-09-06..2026-09-13,1,1,44,47.0000,aggregate_row
0100102,2026-08-09..2026-08-16,1,1,22,22.0000,aggregate_row
0100102,2026-08-16..2026-08-23,1,1,21,25.0000,aggregate_row
0100102,2026-08-23..2026-08-30,1,1,17,19.0000,aggregate_row
0100102,2026-08-30..2026-09-06,1,1,17,17.0000,aggregate_row
0100102,2026-09-06..2026-09-13,1,1,25,27.0000,aggregate_row
0100102*2,2026-08-09..2026-08-16,1,1,66,67.0000,aggregate_row
0100102*2,2026-08-16..2026-08-23,1,1,58,58.0000,aggregate_row
0100102*2,2026-08-23..2026-08-30,1,1,38,39.0000,aggregate_row
0100102*2,2026-08-30..2026-09-06,1,1,80,80.0000,aggregate_row
0100102*2,2026-09-06..2026-09-13,1,1,106,106.0000,aggregate_row
0100102*20,2026-08-09..2026-08-16,1,1,12,19.0000,aggregate_row
0100102*20,2026-08-16..2026-08-23,1,1,11,13.0000,aggregate_row
0100102*20,2026-08-23..2026-08-30,1,1,14,24.0000,aggregate_row
0100102*20,2026-08-30..2026-09-06,1,1,14,19.0000,aggregate_row
0100102*20,2026-09-06..2026-09-13,1,1,17,34.0000,aggregate_row
0100102*3,2026-08-09..2026-08-16,1,1,385,390.0000,aggregate_row
0100102*3,2026-08-16..2026-08-23,1,1,302,310.0000,aggregate_row
0100102*3,2026-08-23..2026-08-30,1,1,338,338.0000,aggregate_row
0100102*3,2026-08-30..2026-09-06,1,1,359,362.0000,aggregate_row
0100102*3,2026-09-06..2026-09-13,1,1,504,507.0000,aggregate_row
0100102*5,2026-08-09..2026-08-16,1,1,445,471.0000,aggregate_row
0100102*5,2026-08-16..2026-08-23,1,1,382,418.0000,aggregate_row
0100102*5,2026-08-23..2026-08-30,1,1,355,390.0000,aggregate_row
0100102*5,2026-08-30..2026-09-06,1,1,452,466.0000,aggregate_row
0100102*5,2026-09-06..2026-09-13,1,1,676,722.0000,aggregate_row
0100102*5+0100118*1,2026-08-09..2026-08-16,1,0,,,verified_zero
0100102*5+0100118*1,2026-08-16..2026-08-23,1,0,,,verified_zero
0100102*5+0100118*1,2026-08-23..2026-08-30,1,1,2,2.0000,aggregate_row
0100102*5+0100118*1,2026-08-30..2026-09-06,1,0,,,verified_zero
0100102*5+0100118*1,2026-09-06..2026-09-13,1,1,1,1.0000,aggregate_row
0100102*5+2024073001,2026-08-09..2026-08-16,1,0,,,verified_zero
0100102*5+2024073001,2026-08-16..2026-08-23,1,0,,,verified_zero
0100102*5+2024073001,2026-08-23..2026-08-30,1,1,2,2.0000,aggregate_row
0100102*5+2024073001,2026-08-30..2026-09-06,1,1,2,2.0000,aggregate_row
0100102*5+2024073001,2026-09-06..2026-09-13,1,0,,,verified_zero
0100102乘2,2026-08-09..2026-08-16,1,1,3,4.0000,aggregate_row
0100102乘2,2026-08-16..2026-08-23,1,1,2,2.0000,aggregate_row
0100102乘2,2026-08-23..2026-08-30,1,1,11,11.0000,aggregate_row
0100102乘2,2026-08-30..2026-09-06,1,1,12,12.0000,aggregate_row
0100102乘2,2026-09-06..2026-09-13,1,1,12,12.0000,aggregate_row
0100103,2026-08-09..2026-08-16,1,1,4,4.0000,aggregate_row
0100103,2026-08-16..2026-08-23,1,1,2,2.0000,aggregate_row
0100103,2026-08-23..2026-08-30,1,1,6,6.0000,aggregate_row
0100103,2026-08-30..2026-09-06,1,1,4,4.0000,aggregate_row
0100103,2026-09-06..2026-09-13,1,1,12,14.0000,aggregate_row
0100103*20,2026-08-09..2026-08-16,1,1,3,3.0000,aggregate_row
0100103*20,2026-08-16..2026-08-23,1,1,5,11.0000,aggregate_row
0100103*20,2026-08-23..2026-08-30,1,1,1,1.0000,aggregate_row
0100103*20,2026-08-30..2026-09-06,1,1,3,3.0000,aggregate_row
0100103*20,2026-09-06..2026-09-13,1,1,3,3.0000,aggregate_row
0100103*3,2026-08-09..2026-08-16,1,1,128,131.0000,aggregate_row
0100103*3,2026-08-16..2026-08-23,1,1,127,129.0000,aggregate_row
0100103*3,2026-08-23..2026-08-30,1,1,135,138.0000,aggregate_row
0100103*3,2026-08-30..2026-09-06,1,1,180,186.0000,aggregate_row
0100103*3,2026-09-06..2026-09-13,1,1,233,238.0000,aggregate_row
0100103*5,2026-08-09..2026-08-16,1,1,221,252.0000,aggregate_row
0100103*5,2026-08-16..2026-08-23,1,1,207,228.0000,aggregate_row
0100103*5,2026-08-23..2026-08-30,1,1,198,222.0000,aggregate_row
0100103*5,2026-08-30..2026-09-06,1,1,286,307.0000,aggregate_row
0100103*5,2026-09-06..2026-09-13,1,1,362,399.0000,aggregate_row
0100103+0100118,2026-08-09..2026-08-16,1,1,7,7.0000,aggregate_row
0100103+0100118,2026-08-16..2026-08-23,1,1,5,5.0000,aggregate_row
0100103+0100118,2026-08-23..2026-08-30,1,1,8,8.0000,aggregate_row
0100103+0100118,2026-08-30..2026-09-06,1,1,17,17.0000,aggregate_row
0100103+0100118,2026-09-06..2026-09-13,1,1,10,13.0000,aggregate_row
0100106,2026-08-09..2026-08-16,1,1,9,9.0000,aggregate_row
0100106,2026-08-16..2026-08-23,1,1,8,8.0000,aggregate_row
0100106,2026-08-23..2026-08-30,1,1,4,4.0000,aggregate_row
0100106,2026-08-30..2026-09-06,1,1,3,3.0000,aggregate_row
0100106,2026-09-06..2026-09-13,1,1,10,10.0000,aggregate_row
0100106*2,2026-08-09..2026-08-16,1,1,11,20.0000,aggregate_row
0100106*2,2026-08-16..2026-08-23,1,1,6,19.0000,aggregate_row
0100106*2,2026-08-23..2026-08-30,1,1,12,13.0000,aggregate_row
0100106*2,2026-08-30..2026-09-06,1,1,5,6.0000,aggregate_row
0100106*2,2026-09-06..2026-09-13,1,1,11,16.0000,aggregate_row
0100107*2,2026-08-09..2026-08-16,1,1,19,19.0000,aggregate_row
0100107*2,2026-08-16..2026-08-23,1,1,20,20.0000,aggregate_row
0100107*2,2026-08-23..2026-08-30,1,1,15,15.0000,aggregate_row
0100107*2,2026-08-30..2026-09-06,1,1,13,14.0000,aggregate_row
0100107*2,2026-09-06..2026-09-13,1,1,23,24.0000,aggregate_row
0100107*3,2026-08-09..2026-08-16,1,1,30,49.0000,aggregate_row
0100107*3,2026-08-16..2026-08-23,1,1,27,33.0000,aggregate_row
0100107*3,2026-08-23..2026-08-30,1,1,32,40.0000,aggregate_row
0100107*3,2026-08-30..2026-09-06,1,1,41,57.0000,aggregate_row
0100107*3,2026-09-06..2026-09-13,1,1,45,72.0000,aggregate_row
0100107*5,2026-08-09..2026-08-16,1,1,10,10.0000,aggregate_row
0100107*5,2026-08-16..2026-08-23,1,1,6,6.0000,aggregate_row
0100107*5,2026-08-23..2026-08-30,1,1,8,8.0000,aggregate_row
0100107*5,2026-08-30..2026-09-06,1,1,7,7.0000,aggregate_row
0100107*5,2026-09-06..2026-09-13,1,1,27,37.0000,aggregate_row
0100118*10,2026-08-09..2026-08-16,1,1,40,52.0000,aggregate_row
0100118*10,2026-08-16..2026-08-23,1,1,36,38.0000,aggregate_row
0100118*10,2026-08-23..2026-08-30,1,1,32,33.0000,aggregate_row
0100118*10,2026-08-30..2026-09-06,1,1,34,36.0000,aggregate_row
0100118*10,2026-09-06..2026-09-13,1,1,45,49.0000,aggregate_row
0100118*2,2026-08-09..2026-08-16,1,1,37,38.0000,aggregate_row
0100118*2,2026-08-16..2026-08-23,1,1,25,26.0000,aggregate_row
0100118*2,2026-08-23..2026-08-30,1,1,19,19.0000,aggregate_row
0100118*2,2026-08-30..2026-09-06,1,1,23,23.0000,aggregate_row
0100118*2,2026-09-06..2026-09-13,1,1,19,23.0000,aggregate_row
0100118*5,2026-08-09..2026-08-16,1,1,78,81.0000,aggregate_row
0100118*5,2026-08-16..2026-08-23,1,1,83,83.0000,aggregate_row
0100118*5,2026-08-23..2026-08-30,1,1,71,73.0000,aggregate_row
0100118*5,2026-08-30..2026-09-06,1,1,76,77.0000,aggregate_row
0100118*5,2026-09-06..2026-09-13,1,1,108,108.0000,aggregate_row
0100119,2026-08-09..2026-08-16,1,1,1,1.0000,aggregate_row
0100119,2026-08-16..2026-08-23,1,1,1,1.0000,aggregate_row
0100119,2026-08-23..2026-08-30,1,1,1,1.0000,aggregate_row
0100119,2026-08-30..2026-09-06,1,1,1,1.0000,aggregate_row
0100119,2026-09-06..2026-09-13,1,0,,,verified_zero
0100120,2026-08-09..2026-08-16,1,1,6,6.0000,aggregate_row
0100120,2026-08-16..2026-08-23,1,1,11,11.0000,aggregate_row
0100120,2026-08-23..2026-08-30,1,1,6,6.0000,aggregate_row
0100120,2026-08-30..2026-09-06,1,1,21,21.0000,aggregate_row
0100120,2026-09-06..2026-09-13,1,1,7,7.0000,aggregate_row
0100120*2,2026-08-09..2026-08-16,1,1,24,25.0000,aggregate_row
0100120*2,2026-08-16..2026-08-23,1,1,21,25.0000,aggregate_row
0100120*2,2026-08-23..2026-08-30,1,1,29,35.0000,aggregate_row
0100120*2,2026-08-30..2026-09-06,1,1,40,44.0000,aggregate_row
0100120*2,2026-09-06..2026-09-13,1,1,31,33.0000,aggregate_row
0100120+0100119,2026-08-09..2026-08-16,1,1,1,1.0000,aggregate_row
0100120+0100119,2026-08-16..2026-08-23,1,1,1,1.0000,aggregate_row
0100120+0100119,2026-08-23..2026-08-30,1,1,4,4.0000,aggregate_row
0100120+0100119,2026-08-30..2026-09-06,1,1,2,2.0000,aggregate_row
0100120+0100119,2026-09-06..2026-09-13,1,1,2,2.0000,aggregate_row
01430007,2026-08-09..2026-08-16,1,1,11,11.0000,aggregate_row
01430007,2026-08-16..2026-08-23,1,1,2,2.0000,aggregate_row
01430007,2026-08-23..2026-08-30,1,1,5,5.0000,aggregate_row
01430007,2026-08-30..2026-09-06,1,1,7,7.0000,aggregate_row
01430007,2026-09-06..2026-09-13,1,1,4,4.0000,aggregate_row
01430501,2026-08-09..2026-08-16,1,1,5,5.0000,aggregate_row
01430501,2026-08-16..2026-08-23,1,1,4,4.0000,aggregate_row
01430501,2026-08-23..2026-08-30,1,1,1,1.0000,aggregate_row
01430501,2026-08-30..2026-09-06,1,1,1,1.0000,aggregate_row
01430501,2026-09-06..2026-09-13,1,1,5,5.0000,aggregate_row
0200103*2,2026-08-09..2026-08-16,1,0,,,verified_zero
0200103*2,2026-08-16..2026-08-23,1,0,,,verified_zero
0200103*2,2026-08-23..2026-08-30,1,1,1,1.0000,aggregate_row
0200103*2,2026-08-30..2026-09-06,1,0,,,verified_zero
0200103*2,2026-09-06..2026-09-13,1,1,3,3.0000,aggregate_row
